date,total_balance,pnl,daily_pct,equity,opened_bucket,active_buckets,invested_ratio,topk_generated,pnl_from_hold
2024-01-02,1000000.0,0.0,0.0,1.0,-1,0,0.0,10,0.0
2024-01-03,999750.0,-250.0,-0.00025,0.99975,0,1,0.25,10,0.0
2024-01-04,1000026.6184093824,276.6184093824122,0.00027668758127773164,1.0000266184093825,1,2,0.5,10,526.6184093823831
2024-01-05,995796.4322267246,-4230.186182657839,-0.00423007358482744,0.9957964322267245,2,3,0.75,10,-3980.1861826577806
2024-01-08,997194.9784291212,1398.5462023966247,0.0014044499027469918,0.9971949784291212,3,4,1.0,10,1648.5462023965374
2024-01-09,994657.4295288133,-2537.5489003078546,-0.0025446868016776912,0.9946574295288133,0,4,1.0,10,-2292.1985810830665
2024-01-10,992216.9499009786,-2440.4796278347494,-0.002453588095140301,0.9922169499009786,1,4,1.0,10,-2195.9439607582754
2024-01-11,990006.3793596321,-2210.5705413464457,-0.0022279104802302124,0.9900063793596321,2,4,1.0,10,-1959.615042635618
2024-01-12,996168.9148877411,6162.535528108943,0.006224743250740535,0.9961689148877411,3,4,1.0,10,6414.711926980352
2024-01-15,1002123.6158427314,5954.700954990345,0.005977601655700514,1.0021236158427314,0,4,1.0,10,6201.923436825164
2024-01-16,986111.5391249177,-16012.076717813732,-0.015978145275369494,0.9861115391249177,1,4,1.0,10,-15770.589119338518
2024-01-17,1003938.2022610328,17826.663136115065,0.018077735052096207,1.0039382022610328,2,4,1.0,10,18080.759578247234
2024-01-18,1003471.2189950494,-466.98326598340645,-0.0004651514056658905,1.0034712189950494,3,4,1.0,10,-212.19310236378806
2024-01-19,997390.0227473497,-6081.1962476996705,-0.0060601601048307415,0.9973900227473497,0,4,1.0,10,-5837.961414209334
2024-01-22,1002290.5336968835,4900.510949533782,0.004913334641181925,1.0022905336968835,1,4,1.0,10,5149.0629135353665
2024-01-23,1021024.3044055129,18733.770708629396,0.018690958438498967,1.021024304405513,2,4,1.0,10,18990.789283699327
2024-01-24,1067369.2444377076,46344.94003219472,0.04539063353558353,1.0673692444377076,3,4,1.0,10,46605.02094604581
2024-01-25,1072820.8498351406,5451.6053974330425,0.005107515909646581,1.0728208498351406,0,4,1.0,10,5709.576540857495
2024-01-26,1078461.6347263714,5640.784891230753,0.005257900135048239,1.0784616347263714,1,4,1.0,10,5919.141206513741
2024-01-29,1068012.6126611063,-10449.022065265104,-0.009688821306950101,1.0680126126611063,2,4,1.0,10,-10173.741603000119
2024-01-30,1068860.246644204,847.6339830977377,0.0007936554054223539,1.068860246644204,3,4,1.0,10,1107.196568325162
2024-01-31,1061151.1087672685,-7709.137876935536,-0.007212484420801655,1.0611511087672685,0,4,1.0,10,-7454.775343162182
2024-02-01,1063446.6428835616,2295.534116293071,0.002163249039017427,1.0634466428835616,1,4,1.0,10,2568.9131650227937
2024-02-02,1081378.1541551652,17931.51127160364,0.016861693430130078,1.0813781541551652,2,4,1.0,10,18209.952073413035
2024-02-05,1114850.1637114575,33472.00955629232,0.030953103156076408,1.1148501637114576,3,4,1.0,10,33736.60722387445
2024-02-06,1135795.0860760147,20944.922364557162,0.01878720840370982,1.1357950860760146,0,4,1.0,10,21209.420213361096
2024-02-07,1148821.8723891666,13026.78631315194,0.011469310329698067,1.1488218723891666,1,4,1.0,10,13320.719071867177
2024-02-08,1185232.238696638,36410.36630747141,0.031693656938956066,1.185232238696638,2,4,1.0,10,36723.65947038721
2024-02-19,1166121.3338511796,-19110.904845458455,-0.01612418581060038,1.1661213338511796,3,4,1.0,10,-18834.112232296495
2024-02-20,1165917.00166599,-204.3321851894725,-0.0001752237775417883,1.16591700166599,0,4,1.0,10,74.06853114481783
2024-02-21,1207747.831160019,41830.82949402882,0.03587805086833483,1.207747831160019,1,4,1.0,10,42141.71942391497
2024-02-22,1220750.359597617,13002.528437598143,0.010765929858975164,1.220750359597617,2,4,1.0,10,13327.862395407865
2024-02-23,1222716.4840189486,1966.1244213315658,0.0016105868049710332,1.2227164840189486,3,4,1.0,10,2254.654573407781
2024-02-26,1276187.46451626,53470.980497311335,0.04373129928007308,1.2761874645162599,0,4,1.0,10,53762.81914786546
2024-02-27,1247523.5675550175,-28663.896961242426,-0.02246056928016254,1.2475235675550176,1,4,1.0,10,-28338.180353083357
2024-02-28,1316872.2513159707,69348.68376095314,0.05558907708402452,1.3168722513159707,2,4,1.0,10,69708.80973570695
2024-02-29,1335972.7882124877,19100.536896517035,0.014504472151668148,1.3359727882124877,3,4,1.0,10,19419.389959794644
2024-03-01,1360235.6324893679,24262.844276880147,0.018161181493332273,1.3602356324893679,0,4,1.0,10,24570.03268369951
2024-03-04,1366436.9789569583,6201.346467590425,0.00455902368638979,1.3664369789569584,1,4,1.0,10,6554.449459382391
2024-03-05,1364946.35171838,-1490.627238578163,-0.001090886196387925,1.3649463517183802,2,4,1.0,10,-1116.5228456314653
2024-03-06,1353424.5319400253,-11521.819778354838,-0.008441225374059284,1.3534245319400253,3,4,1.0,10,-11202.834423683467
2024-03-07,1358555.381580413,5130.849640387809,0.0037910127379124333,1.358555381580413,0,4,1.0,10,5435.634400914772
2024-03-08,1366300.8845541857,7745.502973772585,0.005701278783911047,1.3663008845541857,1,4,1.0,10,8099.751016602095
2024-03-11,1355149.402929792,-11151.481624393724,-0.008161805170778597,1.355149402929792,2,4,1.0,10,-10786.055077751575
2024-03-12,1354672.806822259,-476.59610753296874,-0.0003516926668768642,1.3546728068222589,3,4,1.0,10,-153.89909288892522
2024-03-13,1351271.5194975378,-3401.2873247212265,-0.0025107814282474892,1.3512715194975378,0,4,1.0,10,-3094.1013345990214
2024-03-14,1364227.6222655743,12956.102768036537,0.009588082469801617,1.3642276222655743,1,4,1.0,10,13308.953371641517
2024-03-15,1395540.4070983897,31312.784832815407,0.022952756799348654,1.3955404070983897,2,4,1.0,10,31692.959214213653
2024-03-18,1380017.2059685816,-15523.20112980809,-0.011123433653980655,1.3800172059685816,3,4,1.0,10,-15189.698162362794
2024-03-19,1393671.377319608,13654.171351026278,0.009894203704107395,1.3936713773196079,0,4,1.0,10,13967.964264294947
2024-03-20,1392654.3961048005,-1016.9812148073688,-0.0007297137842948944,1.3926543961048006,1,4,1.0,10,-656.7187134237611
2024-03-21,1386211.0317594567,-6443.3643453437835,-0.00462667863855212,1.3862110317594567,2,4,1.0,10,-6065.626476396748
2024-03-22,1388516.7371423007,2305.7053828439675,0.0016633148416929254,1.3885167371423006,3,4,1.0,10,2641.307077040896
2024-03-25,1379803.239353327,-8713.497788973618,-0.006275399896804142,1.379803239353327,0,4,1.0,10,-8404.41476481763
2024-03-26,1379368.4125949475,-434.8267583795823,-0.0003151367861575486,1.3793684125949475,1,4,1.0,10,-77.52046613575658
2024-03-27,1384755.5258984407,5387.113303493243,0.0039054927271813438,1.3847555258984408,2,4,1.0,10,5759.589010903612
2024-03-28,1411665.4985861487,26909.97268770798,0.019433013397977646,1.4116654985861488,3,4,1.0,10,27250.319089769735
2024-03-29,1418900.496333289,7234.997747140238,0.005125150224600968,1.418900496333289,0,4,1.0,10,7554.159535482468
2024-04-01,1425195.4953950082,6294.999061719282,0.004436533131101699,1.4251954953950083,1,4,1.0,10,6670.44682900788
2024-04-02,1441127.0385253401,15931.543130331906,0.011178496691723199,1.44112703852534,2,4,1.0,10,16318.68726853223
2024-04-03,1441301.9466280276,174.90810268744826,0.00012136896887759889,1.4413019466280277,3,4,1.0,10,523.7902865699725
2024-04-08,1432375.3986332836,-8926.547994744033,-0.00619339203393708,1.4323753986332837,0,4,1.0,10,-8604.203492350178
2024-04-09,1448286.6334493258,15911.23481604224,0.01110828546149572,1.4482866334493258,1,4,1.0,10,16294.207515638263
2024-04-10,1456371.9567162285,8085.323266902706,0.005582681687564994,1.4563719567162285,2,4,1.0,10,8470.502144097525
2024-04-11,1461710.8239566046,5338.867240376072,0.003665867923201395,1.4617108239566046,3,4,1.0,10,5690.37094970193
2024-04-12,1492765.1471695625,31054.32321295794,0.021245189338407668,1.4927651471695624,0,4,1.0,10,31390.202587572217
2024-04-15,1471045.3093654725,-21719.83780409,-0.014550070280829549,1.4710453093654725,1,4,1.0,10,-21327.905892382492
2024-04-16,1501110.4669506229,30065.15758515033,0.020437954829629804,1.5011104669506228,2,4,1.0,10,30459.6535136241
2024-04-17,1500787.4556962773,-323.0112543455325,-0.0002151815349084216,1.5007874556962773,3,4,1.0,10,40.32972214894835
2024-04-18,1500311.2932143277,-476.16248194966465,-0.0003172750945794341,1.5003112932143277,0,4,1.0,10,-139.20380204089452
2024-04-19,1499052.2867192668,-1259.0064950608648,-0.0008391635127690856,1.4990522867192668,1,4,1.0,10,-865.6017464511096
2024-04-22,1489167.3000242854,-9884.986694981344,-0.006594157377001849,1.4891673000242855,2,4,1.0,10,-9490.729536055762
2024-04-23,1501745.4162595111,12578.116235225694,0.008446409100589684,1.5017454162595112,3,4,1.0,10,12940.670291846734
2024-04-24,1504097.3605242765,2351.944264765363,0.001566140465155202,1.5040973605242764,0,4,1.0,10,2693.561235256493
2024-04-25,1533442.5911128619,29345.23058858537,0.01951019352786886,1.533442591112862,1,4,1.0,10,29745.47157409246
2024-04-26,1570319.9706238485,36877.37951098662,0.02404875130292532,1.5703199706238484,2,4,1.0,10,37287.71131830965
2024-04-29,1559776.3587123007,-10543.611911547836,-0.006714307981041039,1.5597763587123006,3,4,1.0,10,-10163.379992340633
2024-04-30,1592515.9405615786,32739.58184927795,0.020989920552653238,1.5925159405615785,0,4,1.0,10,33104.80549933866
2024-05-06,1583279.0744502475,-9236.866111331154,-0.005800171838828754,1.5832790744502474,1,4,1.0,10,-8825.802136098791
2024-05-07,1575418.5115660867,-7860.562884160783,-0.004964736167494767,1.5754185115660866,2,4,1.0,10,-7444.774894894101
2024-05-08,1612272.1554064346,36853.64384034788,0.023392922940655647,1.6122721554064345,3,4,1.0,10,37247.09687777021
2024-05-09,1604504.2077552977,-7767.947651136899,-0.004818012656913183,1.6045042077552976,0,4,1.0,10,-7397.243161636812
2024-05-10,1633267.7848732825,28763.57711798488,0.017926769514818003,1.6332677848732826,1,4,1.0,10,29186.53996456554
2024-05-13,1626390.6966463085,-6877.0882269740105,-0.004210631159609611,1.6263906966463084,2,4,1.0,10,-6449.094168782176
2024-05-14,1608849.004396084,-17541.69225022453,-0.010785657029640107,1.608849004396084,3,4,1.0,10,-17148.564120118157
2024-05-15,1610712.3526543663,1863.3482582822908,0.0011581871593858732,1.6107123526543663,0,4,1.0,10,2233.7580991922296
2024-05-16,1647875.4546851972,37163.10203083092,0.02307246354048763,1.6478754546851972,1,4,1.0,10,37576.72380238911
2024-05-17,1669359.6394277483,21484.184742551064,0.013037505159426813,1.6693596394277483,2,4,1.0,10,21932.02258408116
2024-05-20,1659739.9233175693,-9619.716110178968,-0.005762518682598903,1.6597399233175694,3,4,1.0,10,-9209.515648140688
2024-05-21,1663999.4267110103,4259.503393440973,0.0025663679794644388,1.6639994267110103,0,4,1.0,10,4642.77590150584
2024-05-22,1647259.7668630015,-16739.65984800877,-0.010059895201463899,1.6472597668630016,1,4,1.0,10,-16323.181908646016
2024-05-23,1619066.1781447656,-28193.58871823596,-0.017115447900440797,1.6190661781447655,2,4,1.0,10,-27761.683596497343
2024-05-24,1651263.016976529,32196.83883176348,0.019886054854568562,1.651263016976529,3,4,1.0,10,32603.687979340437
2024-05-27,1664107.4452993488,12844.42832281976,0.007778547809020742,1.6641074452993487,0,4,1.0,10,13225.232241315534
2024-05-28,1667065.3518862296,2957.9065868807957,0.0017774733207498578,1.6670653518862295,1,4,1.0,10,3381.9211114471545
2024-05-29,1657575.9887017743,-9489.363184455317,-0.005692256259611187,1.6575759887017742,2,4,1.0,10,-9045.461914899643
2024-05-30,1642514.814099207,-15061.174602567218,-0.0090862649466606,1.642514814099207,3,4,1.0,10,-14658.883946957882
2024-05-31,1683590.7672675005,41075.95316829346,0.02500796511282637,1.6835907672675006,0,4,1.0,10,41461.35889054532
2024-06-03,1707109.0405896085,23518.27332210797,0.013969115167029913,1.7071090405896086,1,4,1.0,10,23952.747845460428
2024-06-04,1715645.232902491,8536.192312882515,0.005000379067721561,1.715645232902491,2,4,1.0,10,8997.229052151262
2024-06-05,1718124.7665790631,2479.533676572144,0.0014452484867033513,1.718124766579063,3,4,1.0,10,2900.613440099347
2024-06-06,1732947.8453377865,14823.078758723335,0.008627475167730329,1.7329478453377865,0,4,1.0,10,15221.45591540949
2024-06-07,1726840.981402017,-6106.863935769536,-0.003523974453241081,1.726840981402017,1,4,1.0,10,-5667.627833060455
2024-06-11,1733302.476350375,6461.494948358042,0.003741800789967339,1.733302476350375,2,4,1.0,10,6923.753259010089
2024-06-12,1735831.4784993627,2529.0021489877254,0.001459065675780241,1.7358314784993627,3,4,1.0,10,2949.8580905494746
2024-06-13,1735850.7271021316,19.248602768871933,1.1088981279169145e-05,1.7358507271021315,0,4,1.0,10,421.67541692295345
2024-06-14,1746320.3074073538,10469.580305222189,0.006031382849780144,1.7463203074073537,1,4,1.0,10,10912.302804839856
2024-06-17,1759938.2101449054,13617.902737551602,0.007798055534135775,1.7599382101449055,2,4,1.0,10,14088.025230272498
2024-06-18,1765082.932115752,5144.721970846644,0.002923240112175899,1.765082932115752,3,4,1.0,10,5572.6682854846
2024-06-19,1776533.1321157087,11450.199999956647,0.006487060631327751,1.7765331321157087,0,4,1.0,10,11861.936727612803
2024-06-20,1776912.2357233316,379.10360762290657,0.00021339518006704695,1.7769122357233316,1,4,1.0,10,829.733438132098
2024-06-21,1770713.1506902976,-6199.0850330339745,-0.0034886838575403805,1.7707131506902976,2,4,1.0,10,-5726.715734092984
2024-06-24,1753138.5726843453,-17574.578005952295,-0.009925141177779696,1.7531385726843454,3,4,1.0,10,-17150.915610561147
2024-06-25,1761178.1899819898,8039.617297644494,0.004585842455873017,1.7611781899819898,0,4,1.0,10,8451.129204351339
2024-06-26,1764000.5019267255,2822.311944735702,0.0016025135677864395,1.7640005019267255,1,4,1.0,10,3272.130152790807
2024-06-27,1795659.076396211,31658.574469485553,0.017947032574484274,1.795659076396211,2,4,1.0,10,32137.14546906628
2024-06-28,1820858.244935403,25199.168539192062,0.014033381319668657,1.8208582449354032,3,4,1.0,10,25636.913808850397
2024-07-01,1835045.7969969027,14187.552061499562,0.007791684004485962,1.8350457969969027,0,4,1.0,10,14614.350525741233
2024-07-02,1823915.435579729,-11130.36141717364,-0.006065440674771577,1.8239154355797291,1,4,1.0,10,-10660.79530619306
2024-07-03,1823225.0672528816,-690.3683268474415,-0.0003785089557225052,1.8232250672528816,2,4,1.0,10,-201.26267406885745
